,DATA_DT,SVC,SELLIN,GROUP,SVC_ACCUM,SELLIN_ACCUM
1,1,12,839,202105,12,839
2,2,3,654,202105,15,1493
3,3,118,1083,202105,133,2576
4,4,119,0,202105,252,2576
5,5,92,1743,202105,344,4319
6,6,156,-18,202105,500,4301
7,7,150,1601,202105,650,5902
8,8,36,1711,202105,686,7613
9,9,3,646,202105,689,8259
10,10,143,1258,202105,832,9517
11,11,462,1043,202105,1294,10560
12,12,183,1227,202105,1477,11787
13,13,172,1837,202105,1649,13624
14,14,427,2162,202105,2076,15786
15,15,31,1543,202105,2107,17329
16,16,4,1054,202105,2111,18383
17,17,150,12680,202105,2261,31063
18,18,187,12676,202105,2448,43739
19,19,121,13843,202105,2569,57582
20,20,132,16999,202105,2701,74581
21,21,152,16306,202105,2853,90887
22,22,40,4335,202105,2893,95222
23,23,8,473,202105,2901,95695
24,24,157,13304,202105,3058,108999
25,25,567,13710,202105,3625,122709
26,26,143,17885,202105,3768,140594
27,27,209,19367,202105,3977,159961
28,28,163,30895,202105,4140,190856
29,29,45,7735,202105,4185,198591
30,30,0,3351,202105,4185,201942
31,31,444,30751,202105,4629,232693
32,1,211,7929,202106,211,7929
33,2,160,7971,202106,371,15900
34,3,155,6067,202106,526,21967
35,4,152,7363,202106,678,29330
36,5,40,2261,202106,718,31591
37,6,7,488,202106,725,32079
38,7,156,10039,202106,881,42118
39,8,190,9319,202106,1071,51437
40,9,179,10033,202106,1250,61470
41,10,634,11069,202106,1884,72539
42,11,203,15108,202106,2087,87647
43,12,23,4180,202106,2110,91827
44,13,4,840,202106,2114,92667
45,14,171,1567,202106,2285,94234
46,15,530,1775,202106,2815,96009
47,16,169,12584,202106,2984,108593
48,17,159,1861,202106,3143,110454
49,18,123,2381,202106,3266,112835
50,19,40,2210,202106,3306,115045
51,20,3,494,202106,3309,115539
52,21,204,1852,202106,3513,117391
53,22,164,1328,202106,3677,118719
54,23,184,9535,202106,3861,128254
55,24,175,15231,202106,4036,143485
56,25,661,18506,202106,4697,161991
57,26,0,0,202106,4697,161991
58,27,0,0,202106,4697,161991